Price,Open,High,Low,Vol,Change
183.30,183.80,187.50,183.00,35.69,-0.27
183.80,185.00,186.80,183.00,19.22,0.27
183.30,185.40,185.40,181.90,18.71,-1.19
185.50,180.50,186.00,179.10,33.83,2.94
180.20,182.50,183.10,179.70,14.21,-0.72
181.50,180.30,182.90,179.00,24.21,0.67
180.30,182.40,183.30,178.70,20.44,-0.66
181.50,173.70,182.50,173.20,38.94,5.28
172.40,172.20,173.20,169.60,16.20,0.41
171.70,170.40,172.50,167.00,22.60,0.76
170.40,170.40,172.10,169.10,14.92,0.24
170.00,174.50,175.40,168.80,16.55,-2.41
174.20,172.00,175.90,170.40,25.25,1.28
172.00,178.70,179.00,172.00,21.75,-3.75
178.70,181.60,181.70,178.60,13.89,-1.00
180.50,180.30,182.70,179.80,20.70,0.84
179.00,182.10,183.50,178.10,21.74,-1.43
181.60,186.00,188.40,179.60,36.49,-1.89
185.10,188.50,188.70,185.10,14.58,-1.80
188.50,186.30,188.50,183.80,20.99,2.22
184.40,188.00,188.70,183.50,20.66,-1.39
187.00,180.50,187.00,180.50,36.15,3.72
180.30,179.00,181.60,176.60,25.43,0.56
179.30,181.30,182.30,177.30,20.73,-1.10
181.30,184.30,185.00,178.70,20.26,-1.04
183.20,183.10,187.00,182.50,25.12,0.33
182.60,180.60,187.70,178.50,41.75,1.39
180.10,178.30,181.80,177.20,37.75,2.04
176.50,177.60,178.40,173.70,28.54,-0.17
176.80,166.80,176.90,166.80,33.41,6.38
166.20,162.50,168.90,162.50,41.84,2.66
161.90,161.00,166.20,160.40,33.83,0.12
161.70,155.50,165.40,154.70,62.54,3.99
155.50,153.90,157.00,151.40,31.43,0.97
154.00,152.50,154.80,151.90,26.73,0.98
152.50,151.20,154.20,149.40,33.51,1.87
149.70,152.30,152.80,147.40,32.98,-1.64
152.20,152.50,153.50,151.60,26.60,0.59
151.30,150.40,151.60,148.50,22.90,0.07
151.20,151.00,151.70,149.00,28.60,0.93
149.80,146.70,150.50,146.70,42.29,2.88
145.60,149.00,150.60,145.50,35.82,-1.89
148.40,150.80,153.20,148.00,26.95,-1.59
150.80,146.50,151.90,145.10,44.36,2.94
146.50,140.70,146.50,140.50,35.65,4.42
140.30,148.90,149.60,140.30,22.95,-5.46
148.40,143.40,150.00,143.10,39.70,4.07
142.60,143.10,144.00,138.60,44.46,-3.06
147.10,146.40,147.80,143.90,33.86,0.55
146.30,144.00,146.90,143.30,31.32,1.53
144.10,142.00,145.40,141.70,30.27,1.84
141.50,144.60,145.60,141.20,23.68,-2.08
144.50,139.50,145.50,138.60,45.38,4.03
138.90,141.50,145.00,138.50,33.03,-1.84
141.50,149.10,150.70,140.70,48.70,-2.21
144.70,144.40,148.20,141.90,52.56,2.41
141.30,140.20,142.90,138.20,40.04,1.51
139.20,139.00,141.10,137.50,30.00,-0.22
139.50,134.40,139.70,134.00,15.26,3.56
134.70,127.90,135.00,127.90,39.19,5.56
127.60,129.40,130.40,126.90,32.07,-1.31
129.30,130.70,132.60,129.20,20.62,-0.23
129.60,131.60,132.60,128.60,29.06,-1.97
132.20,135.20,136.20,131.00,19.67,-2.15
135.10,138.00,138.70,134.10,20.98,-1.82
137.60,135.80,138.90,135.20,25.94,0.95
136.30,136.60,138.30,135.10,15.40,0.07
136.20,136.10,138.50,134.40,25.28,-0.58
137.00,133.40,138.00,131.10,32.79,3.01
133.00,133.00,134.90,131.20,27.39,0.53
132.30,137.80,137.90,129.90,45.13,-4.55
138.60,137.50,143.80,136.60,47.31,0.80
137.50,141.60,141.80,136.50,39.27,-0.36
138.00,137.50,139.30,136.50,39.98,0.88
136.80,140.30,141.60,135.40,52.83,-2.56
140.40,148.30,148.40,137.20,65.72,-5.90
149.20,155.20,155.80,149.10,36.61,-3.18
154.10,144.60,158.50,144.20,83.82,6.87
144.20,137.50,146.50,137.40,53.12,4.95
137.40,129.70,138.60,129.50,42.91,5.86
129.80,129.90,130.80,128.20,24.86,0.00
129.80,135.00,135.30,129.00,27.38,-3.85
